p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,based on Scott's 
1.36E-31,1.684090373,0.295,0.174,2.72E-28,4,Fabp5,
2.44E-26,1.683536174,0.285,0.162,4.88E-23,4,Hba-a2,
3.26E-22,1.679642884,0.286,0.171,6.53E-19,4,Hba-a1,
1.74E-111,1.599442835,0.299,0.106,3.47E-108,4,Nfasc,
6.25E-21,1.587949502,0.396,0.311,1.25E-17,4,Igfbp5,
1.44E-06,1.568565496,0.319,0.25,0.002889457,4,Scd1,
2.01E-26,1.563494611,0.352,0.255,4.02E-23,4,Col5a3,
2.08E-14,1.536314868,0.254,0.161,4.16E-11,4,Hbb-bt,
4.37E-20,1.530540081,0.288,0.188,8.73E-17,4,Col15a1,
0,6.979097092,0.295,0.002,0,5,Gm609,
1.38E-138,6.697748326,0.487,0.008,2.75E-135,5,Lrrc3b,
1.93E-22,6.442121154,0.257,0.007,3.87E-19,5,Klhl4,
7.94E-28,6.151767648,0.323,0.01,1.59E-24,5,Dipk2b,
2.96E-07,6.14468509,0.456,0.061,0.000592495,5,Ccdc85a,
1.81E-84,6.104950835,0.55,0.047,3.62E-81,5,Shank3,
4.30E-153,6.06962424,0.253,0.024,8.61E-150,5,Samd12,
5.50E-10,6.004712033,0.326,0.007,1.10E-06,5,Gm12002,
6.46E-54,6.002843876,0.538,0.065,1.29E-50,5,Mecom,
1.42E-43,5.943921457,0.538,0.058,2.85E-40,5,Cyyr1,
4.22E-86,5.894612215,0.27,0.036,8.45E-83,5,Fgd5,
1.08E-05,5.822886395,0.393,0.015,0.021637571,5,Pcdh17,
3.29E-17,5.798258633,0.477,0.06,6.57E-14,5,Dach1,
7.41E-05,5.795207673,0.451,0.031,0.148264306,5,Flt1,
6.16E-36,5.765946322,0.32,0.02,1.23E-32,5,Btnl9,
1.97E-22,5.709854024,0.36,0.069,3.95E-19,5,Vwa3a,
0.004310879,5.697314229,0.289,0.028,1,5,Gm26691,
0,5.640317098,0.562,0.005,0,5,Lhx6,
1.11E-14,5.634423607,0.486,0.068,2.23E-11,5,Adgrl4,
9.32E-06,5.593535801,0.45,0.028,0.018643775,5,Ablim3,
4.23E-71,3.827596236,0.357,0.13,8.45E-68,6,Plcxd3,
5.74E-70,3.494587924,0.446,0.218,1.15E-66,6,C7,
4.04E-65,2.554070073,0.282,0.074,8.07E-62,6,Nxph1,
3.31E-33,2.516427579,0.251,0.073,6.63E-30,6,Inmt,
1.87E-15,2.471313739,0.269,0.104,3.75E-12,6,Ism1,
9.86E-51,2.465676162,0.366,0.163,1.97E-47,6,Csmd1,
5.18E-20,2.449241402,0.291,0.123,1.04E-16,6,Epha3,
3.91E-21,2.31412169,0.3,0.138,7.81E-18,6,Pknox2,
6.75E-101,2.26212421,0.379,0.124,1.35E-97,6,Gna14,
3.58E-37,2.2308294,0.395,0.237,7.17E-34,6,Sult5a1,
5.87E-135,2.112961027,0.274,0.042,1.17E-131,6,Neto1,
8.38E-90,2.109632522,0.602,0.358,1.68E-86,6,Itgbl1,
4.87E-53,2.045682158,0.318,0.125,9.75E-50,6,Tdo2,
1.27E-53,2.042966376,0.389,0.212,2.55E-50,6,Gabre,
2.34E-113,2.03461002,0.491,0.23,4.68E-110,6,Gabra3,
2.98E-169,2.030232842,0.3,0.047,5.95E-166,6,Slc22a22,
1.14E-52,1.990742956,0.334,0.126,2.28E-49,6,Boc,
9.25E-131,1.986107902,0.629,0.317,1.85E-127,6,Abi3bp,
6.74E-43,1.98280435,0.286,0.084,1.35E-39,6,Foxp2,
1.14E-74,1.976503346,0.449,0.226,2.28E-71,6,C1qtnf7,
0,7.487687768,0.392,0.004,0,7,Gm12239,
0,6.515257,0.639,0.023,0,7,Pnpla3,
0,6.130961518,0.683,0.027,0,7,Gm35552,
4.68E-286,6.1205213,0.258,0.004,9.36E-283,7,Sez6l,
0,5.923263842,0.544,0.023,0,7,Klb,
0,5.767009539,0.879,0.137,0,7,Nnat,
1.46E-113,5.688995719,0.361,0.005,2.93E-110,7,A830018L16Rik,
0,5.622178342,0.959,0.073,0,7,Cidec,Adipogenic
0,5.603472252,0.836,0.056,0,7,Tshr,
0,5.519677275,0.552,0.009,0,7,Gm3289,
0,5.456361685,0.865,0.081,0,7,Slc7a10,
1.15E-236,5.37044572,0.507,0.015,2.29E-233,7,Gm13544,
0,5.348844978,0.856,0.077,0,7,Apol6,
0,5.318940969,0.393,0.006,0,7,Gm35190,
0,5.308349693,0.891,0.096,0,7,Acvr1c,
5.89E-186,5.28436418,0.502,0.016,1.18E-182,7,Gm30270,
1.57E-69,5.263004491,0.371,0.023,3.13E-66,7,Lncbate1,
4.15E-53,5.246847258,0.346,0.028,8.30E-50,7,Gm29506,
0,5.232254932,0.92,0.112,0,7,Ankef1,
0,5.181535567,0.577,0.017,0,7,Ttpa,
1.51E-95,5.500614291,0.343,0.048,3.02E-92,8,Lypd1,
